StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,DEM_1,DEM_2,DEM_3,DEM_4,Russia_False,Russia_False_Conf_1,Maine_True,Maine_true_Conf_1,Oxford_False,Oxford_False_Conf_1,Urchin_True,Urchin_True_Conf_1,Ostrich_False,Ostrich_False_Conf_1,Lungfish_True,Lungfish_True_Conf_1,Eiffel_False,Eiffel_False_Conf_1,Drops_True,Drops_True_Conf_1,Everest_False,Everest_False_Conf_1,Insects_True,Insects_True_Conf_1,Texas_False,Texas_False_Conf_1,Alaska_True,Alaska_True_Conf_1,Water_False,Water_False_Conf_1,China_True,China_True_Conf_1,Tortoises_False,Tortoises_False_Conf_1,Pigs_True,Pigs_True_Conf_1,Russia_True,Russia_True_Conf_1,Maine_False,Maine_False_Conf_1,Oxford_True,Oxford_True_Conf_1,Urchin_False,Urchin_False_Conf_1,Ostrich_True,Ostrich_True_Conf_1,Lungfish_False,Lungfish_False_Conf_1,Eiffel_True,Eiffel_True_Conf_1,Drops_False,Drops_False_Conf_1,Everest_True,Everest_True_Conf_1,Insects_False,Insects_False_Conf_1,Texas_True,Texas_True_Conf_1,Alaska_False,Alaska_False_Conf_1,Water_True,Water_True_Conf_1,China_False,China_False_Conf_1,Tortoise_True,Tortoise_True_Conf_1,Pigs_False,Pigs_False_Conf_1,BS_1,BS_2,BS_3,BS_4,BS_5,BS_6,BS_7,BS_8,BS_9,BS_10,BS_11,BS_12,BS_13,BS_14,BS_15,BS_16,BS_17,BS_18,BS_19,BS_20,SS_Squash,GF1_Slot,DenNeglect,ProbMatch,WS_1,WS_2,WS_3,WS_4,WS_5,Num1,Num2,Num3,RI_1,RI_2,RI_3,RI_4,RI_5,EI_1,EI_2,EI_3,EI_4,EI_5,CintID,CintID - Topics
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"You are being asked to take part in a research study on how comfortable people feel answering trivia questions. Please read this carefully and ask any questions you may have before conducting the survey.

 

Should you choose to participate you will be asked a series of questions as well as how confident you are in each of your answers. These questions will consist of discerning whether a statement is true, and expressing how confident you feel about your choice. We will then ask you to evaluate phrases, solve word puzzles, and describe your personality.

 

There are no known risks associated with participating in this survey, other than those encountered in day-to-day life. Participation is voluntary, and you are free to discontinue the survey at any time. This will in no way negatively impact your current or future relationship with Princeton University or any of the associated study personnel. Your answers will not be associated with your identity in any way and will be completely anonymous.

 

You email address will not be stored with any of your question results, and only one entry per subject is possible.

 

If you have any questions, please feel free to contact me at josephbb@princeton.edu or the Princeton Institutional Research Board at irb@princeton.edu. By clicking ""Start Survey"" you acknowledge that you have read through this information, are aware of the risks and consent to take part in the survey.",Please select your age from below:,How would you describe your political beliefs?,What is your current level of education?,Please select your gender:,Pluto has a larger surface area than Russia,"How confident are you that the answer you selected, (True or False) is correct from not confident at all (50%) to certain (100%)? Please drag the slider below to indicate your confidence. - 1",Maine is closer to Africa than Florida is to Africa.,"How confident are you that the answer you selected, (True or False) is correct from not confident at all (50%) to certain (100%)? Please drag the slider below to indicate your confidence. - 1",The Aztec Empire is older than Oxford University.,"How confident are you that the answer you selected, (True or False) is correct from not confident at all (50%) to certain (100%)? Please drag the slider below to indicate your confidence. - 1",Red sea urchins live longer than sea turtles.,"How confident are you that the answer you selected, (True or False) is correct from not confident at all (50%) to certain (100%)? Please drag the slider below to indicate your confidence. - 1",Stegosauruses have larger brains than ostriches.,"How confident are you that the answer you selected, (True or False) is correct from not confident at all (50%) to certain (100%)? Please drag the slider below to indicate your confidence. - 1",Marbled lungfish have a larger genome (more complex DNA patterns) than humans.,"How confident are you that the answer you selected, (True or False) is correct from not confident at all (50%) to certain (100%)? Please drag the slider below to indicate your confidence. - 1",The Statue of Liberty is taller than the Eiffel Tower,"How confident are you that the answer you selected, (True or False) is correct from not confident at all (50%) to certain (100%)? Please drag the slider below to indicate your confidence. - 1",There are more drops (0.1mL) of water in the oceans than atoms in an equally sized drop of water,"How confident are you that the answer you selected, (True or False) is correct from not confident at all (50%) to certain (100%)? Please drag the slider below to indicate your confidence. - 1",Mount Rushmore is taller than Mount Everest.,"How confident are you that the answer you selected, (True or False) is correct from not confident at all (50%) to certain (100%)? Please drag the slider below to indicate your confidence. - 1",There are more insects on Earth than humans.,"How confident are you that the answer you selected, (True or False) is correct from not confident at all (50%) to certain (100%)? Please drag the slider below to indicate your confidence. - 1",Florida is larger than Texas.,"How confident are you that the answer you selected, (True or False) is correct from not confident at all (50%) to certain (100%)? Please drag the slider below to indicate your confidence. - 1",Alaska is further north than Oklahoma,"How confident are you that the answer you selected, (True or False) is correct from not confident at all (50%) to certain (100%)? Please drag the slider below to indicate your confidence. - 1",The earth has more surface area covered in land than water.,"How confident are you that the answer you selected, (True or False) is correct from not confident at all (50%) to certain (100%)? Please drag the slider below to indicate your confidence. - 1",China has a larger population than the U.S.A.,"How confident are you that the answer you selected, (True or False) is correct from not confident at all (50%) to certain (100%)? Please drag the slider below to indicate your confidence. - 1",Rabbits live longer than tortoises.,"How confident are you that the answer you selected, (True or False) is correct from not confident at all (50%) to certain (100%)? Please drag the slider below to indicate your confidence. - 1",Pigs have more offspring per litter than elephants.,"How confident are you that the answer you selected, (True or False) is correct from not confident at all (50%) to certain (100%)? Please drag the slider below to indicate your confidence. - 1",Russia has a larger surface area than Pluto.,"How confident are you that the answer you selected, (True or False) is correct from not confident at all (50%) to certain (100%)? Please drag the slider below to indicate your confidence. - 1",Florida is closer to Africa than Maine is to Africa.,"How confident are you that the answer you selected, (True or False) is correct from not confident at all (50%) to certain (100%)? Please drag the slider below to indicate your confidence. - 1",Oxford University is older than the Aztec Empire,"How confident are you that the answer you selected, (True or False) is correct from not confident at all (50%) to certain (100%)? Please drag the slider below to indicate your confidence. - 1",Sea turtles live longer than red urchins,"How confident are you that the answer you selected, (True or False) is correct from not confident at all (50%) to certain (100%)? Please drag the slider below to indicate your confidence. - 1",Ostriches have larger brains than stegosauruses.,"How confident are you that the answer you selected, (True or False) is correct from not confident at all (50%) to certain (100%)? Please drag the slider below to indicate your confidence. - 1",Humans have a larger genome (more complex DNA patterns) than marbled lungfish.,"How confident are you that the answer you selected, (True or False) is correct from not confident at all (50%) to certain (100%)? Please drag the slider below to indicate your confidence. - 1",The Eiffel Tower is taller than the Statue of Liberty.,"How confident are you that the answer you selected, (True or False) is correct from not confident at all (50%) to certain (100%)? Please drag the slider below to indicate your confidence. - 1",There are more atoms in a drop (0.1mL) of water than equally sized drops of water in the oceans.,"How confident are you that the answer you selected, (True or False) is correct from not confident at all (50%) to certain (100%)? Please drag the slider below to indicate your confidence. - 1",Mount Everest is taller than Mount Rushmore.,"How confident are you that the answer you selected, (True or False) is correct from not confident at all (50%) to certain (100%)? Please drag the slider below to indicate your confidence. - 1",There are more humans on Earth than insects.,"How confident are you that the answer you selected, (True or False) is correct from not confident at all (50%) to certain (100%)? Please drag the slider below to indicate your confidence. - 1",Texas is larger than Florida.,"How confident are you that the answer you selected, (True or False) is correct from not confident at all (50%) to certain (100%)? Please drag the slider below to indicate your confidence. - 1",Oklahoma is further north than Alaska,"How confident are you that the answer you selected, (True or False) is correct from not confident at all (50%) to certain (100%)? Please drag the slider below to indicate your confidence. - 1",The earth has more surface area covered in water than land.,"How confident are you that the answer you selected, (True or False) is correct from not confident at all (50%) to certain (100%)? Please drag the slider below to indicate your confidence. - 1",The U.S.A. has a larger population than China,"How confident are you that the answer you selected, (True or False) is correct from not confident at all (50%) to certain (100%)? Please drag the slider below to indicate your confidence. - 1",Tortoises live longer than rabbits.,"How confident are you that the answer you selected, (True or False) is correct from not confident at all (50%) to certain (100%)? Please drag the slider below to indicate your confidence. - 1",Elephants have more offspring per litter than pigs.,"How confident are you that the answer you selected, (True or False) is correct from not confident at all (50%) to certain (100%)? Please drag the slider below to indicate your confidence. - 1",Hidden meanings transform unparalleled abstract beauty.,Good health imparts reality to subtle creativity.,Wholeness quiets infinite phenomena.,The future explains irrational facts.,Imagination is inside exponential space time events.,We are in the midst of a self-aware blossoming of being that will align us with the nexus itself.,Consciousness consists of frequencies of quantum energy. “Quantum” means an unveiling of the unrestricted.,"Consciousness is the growth of coherence, and of us.",We are in the midst of a high-frequency blossoming of interconnectedness that will give us access to the quantum soup itself.,"Today, science tells us that the essence of nature is joy.",Your consciousness gives rise to a jumble of neural networks.,Your movement transforms universal observations.,Perceptual reality transcends subtle truth.,The invisible is beyond new timelessness.,The unexplainable undertakes intrinsic experiences.,"As you self-actualize, you will enter into infinite empathy that transcends understanding.",The infinite is calling to us via superpositions of possibilities.,We are being called to explore the totality itself as an interface between serenity and intuition.,"Throughout history, humans have been interacting with the dreamscape via bio-electricity.",The future will be an astral unveiling of inseparability.,"A game of squash can be played either to 9 or to 15 points (that is, the game can either end when one of the two squash players scores 9 points, or it can end when one of them scores 15 points). Holding all other rules of the game constant, if A is a better player than B, which scoring system will give A a better chance of winning?","When playing slot machines, people win something about 1 in every 10 times. Julie, however, has just won on her first three plays. What are her chances (out of 10) of winning the next time she plays?","Assume that you are presented with two trays of black and white marbles: a large tray that contains 100 marbles and a small tray that contains 10 marbles. The marbles are spread in a single layer on each tray. You must draw out one marble (without peeking, of course) from either tray. If you draw a black marble, you win $2. Consider a case in which the small tray contains 1 black marble and 9 white marbles, and the large tray contains 8 black marbles and 92 white marbles. From which tray would you prefer to select a marble in a real situation?",A die with 4 red faces and 2 green faces will be rolled 60 times. Before each roll you will be asked to predict which color (red or green) will show up once the die is rolled. You will be given one dollar for each correct prediction. Assume that you want to make as much money as possible. What strategy would you use in order to make as much money as possible by making the most correct predictions?,BROADEN,EMANATE,CAPRICE,ALLUSION,AUDACIOUS,"Imagine that we roll a fair, six-sided die 1000 times. Out of 1000 rolls, how many times do you think the die would come up as an even number?","In the BIG BUCKS LOTTERY, the chances of winning a $10.00 prize are 1%. What is your best guess about how many people would win a $10.00 prize if 1000 people each buy a single ticket from BIG BUCKS?",Which of the following numbers represents the biggest risk of getting a disease?,I enjoy intellectual challenges.,I prefer complex problems to simple problems.,Thinking hard and for a long time about something gives me little satisfaction.,Knowing the answer without having to understand the reasoning behind it is good enough.,Learning new ways to think would be very appealing to me.,Using my gut feelings usually works well for me in figuring out problems in my life.,I often go by my instincts when deciding on a course of action.,I don't like situations in which I have to rely on intuition.,My snap judgments are probably not as good as most people's.,I suspect my hunches are inaccurate as often as they are accurate,CintID,CintID - Topics
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69_1""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67_1""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73_1""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75_1""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81_1""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83_1""}","{""ImportId"":""QID124""}","{""ImportId"":""QID125_1""}","{""ImportId"":""QID88""}","{""ImportId"":""QID89_1""}","{""ImportId"":""QID94""}","{""ImportId"":""QID95_1""}","{""ImportId"":""QID96""}","{""ImportId"":""QID97_1""}","{""ImportId"":""QID102""}","{""ImportId"":""QID103_1""}","{""ImportId"":""QID104""}","{""ImportId"":""QID105_1""}","{""ImportId"":""QID110""}","{""ImportId"":""QID111_1""}","{""ImportId"":""QID112""}","{""ImportId"":""QID113_1""}","{""ImportId"":""QID118""}","{""ImportId"":""QID119_1""}","{""ImportId"":""QID120""}","{""ImportId"":""QID121_1""}","{""ImportId"":""QID61""}","{""ImportId"":""QID63_1""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65_1""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71_1""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77_1""}","{""ImportId"":""QID78""}","{""ImportId"":""QID79_1""}","{""ImportId"":""QID84""}","{""ImportId"":""QID85_1""}","{""ImportId"":""QID86""}","{""ImportId"":""QID87_1""}","{""ImportId"":""QID90""}","{""ImportId"":""QID91_1""}","{""ImportId"":""QID92""}","{""ImportId"":""QID93_1""}","{""ImportId"":""QID98""}","{""ImportId"":""QID99_1""}","{""ImportId"":""QID100""}","{""ImportId"":""QID101_1""}","{""ImportId"":""QID106""}","{""ImportId"":""QID107_1""}","{""ImportId"":""QID108""}","{""ImportId"":""QID109_1""}","{""ImportId"":""QID114""}","{""ImportId"":""QID115_1""}","{""ImportId"":""QID116""}","{""ImportId"":""QID117_1""}","{""ImportId"":""QID122""}","{""ImportId"":""QID123_1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID25""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID42_TEXT""}","{""ImportId"":""QID43_TEXT""}","{""ImportId"":""QID44""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""CintID""}","{""ImportId"":""CintID_c8e9492ada4c4df3b97bc1e3Topics""}"
2018-03-06 13:45:00,2018-03-06 13:47:07,IP Address,*******,100,127,True,2018-03-06 13:47:08,R_88FeV8zBYbubh61,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,25-34,Liberal,College,Male,True,61,True,86,False,83,True,87,False,82,True,80,True,68,True,61,True,83,False,84,True,67,True,81,False,87,True,68,True,70,True,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat profound,Fairly profound,,,,,Not at all profound,Fairly profound,,,Not at all profound,,,,,,Somewhat profound,,,,15 points,1,small tray (10 marbles),"Strategy D: Predict red on all of the 60 rolls. ",widen,free,whim,reference,loud,500,10,1 in 10,2,Not true or untrue 3,Not true or untrue 3,2,Not true or untrue 3,2,Not true or untrue 3,4,4,Not true or untrue 3,28bed585-e303-9564-5492-e39545a3d55b,
2018-03-06 13:51:44,2018-03-06 13:57:30,IP Address,*******,100,346,True,2018-03-06 13:57:32,R_3033cGWYHJpM6FX,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,25-34,Very Conservative,Graduate Degree or Higher,Male,True,94,True,79,True,81,True,81,True,85,True,93,True,84,False,67,True,80,False,72,False,73,True,81,False,68,True,90,False,61,True,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Very profound,Definitely profound,,Fairly profound,,Very profound,,,,Somewhat profound,,,,Somewhat profound,,9 points,1,small tray (10 marbles),"Strategy B: Predict the more likely color (red) on most of the rolls but occasionally, after a long run of reds, predict a green. ",elapse,prominent,grimace,illusion,loud,800,1,1 in 1000,2,4,4,4,Not true or untrue 3,Note true or untrue 3,2,2,Definitely not true of myself 1,Not true or untrue 3,11587f4b-61e3-301d-b25c-4973334bd79d,
2018-03-06 13:51:15,2018-03-06 13:57:40,IP Address,*******,100,384,True,2018-03-06 13:57:41,R_3QWvnXooFbtOD5j,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,25-34,Very Conservative,High School,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,100,True,100,False,100,True,76,True,50,False,50,True,76,True,50,True,100,False,100,False,100,False,100,True,100,False,100,True,100,False,50,,,,Somewhat profound,Somewhat profound,,,,,Not at all profound,,,,Somewhat profound,,,,Somewhat profound,Somewhat profound,,9 points,1,small tray (10 marbles),"Strategy C: Make predictions according to the frequency of occurrence (4 of 6 for red and 2 of 6 for green). That is, predict twice as many reds as greens. ",efface,free,a star,dream,brave,500,10,1 in 10,Definitely true of myself 5,Definitely true of myself 5,Definitely true of myself 5,Definitely true of myself 5,Definitely true of myself 5,Definitely true of myself 5,Definitely true of myself 5,Definitely true of myself 5,Definitely true of myself 5,Definitely true of myself 5,8454f467-fa76-ba18-be70-c27f8fb44cb3,
2018-03-06 13:54:14,2018-03-06 13:57:49,IP Address,*******,100,215,True,2018-03-06 13:57:50,R_3HIamYxzf7xkbhk,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,45-54,Moderate,College,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,68,False,65,False,50,False,63,False,63,False,65,False,65,False,77,False,50,False,51,False,51,False,79,True,67,False,71,False,72,False,68,Fairly profound,,,Fairly profound,Fairly profound,,Fairly profound,,,,,,Fairly profound,,,Fairly profound,,,,,9 points,3,large tray (100 marbles),"Strategy C: Make predictions according to the frequency of occurrence (4 of 6 for red and 2 of 6 for green). That is, predict twice as many reds as greens. ",embroider,prominent,grimace,illusion,loud,14,10,1 in 10,Definitely true of myself 5,Definitely not true of myself 1,4,Not true or untrue 3,Not true or untrue 3,Definitely not true of myself 1,Definitely true of myself 5,2,2,4,0984da48-9380-ddb5-6e5f-ecaf80f4259e,
2018-03-06 13:53:54,2018-03-06 13:58:56,IP Address,*******,100,301,True,2018-03-06 13:58:57,R_2EE5ZY2RgFwSSVY,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,18-24,Moderate,Some High School,Female,False,64,False,80,False,65,False,58,False,80,False,86,False,86,False,71,False,71,False,70,False,74,False,69,False,55,True,81,False,64,False,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not at all profound,Not at all profound,,,Not at all profound,,Not at all profound,,,,,Not at all profound,,Not at all profound,,,,,,,9 points,0,large tray (100 marbles),"Strategy A: Go by intuition, switching when there has been too many of one color or the other.",efface,populate,value,reference,smart,1,10,1 in 1000,Not true or untrue 3,Not true or untrue 3,Not true or untrue 3,Not true or untrue 3,Not true or untrue 3,Note true or untrue 3,Not true or untrue 3,Not true or untrue 3,Not true or untrue 3,Not true or untrue 3,f0319e12-096b-b176-db05-a81a1422bcc6,
2018-03-06 13:51:56,2018-03-06 14:00:25,IP Address,*******,100,509,True,2018-03-06 14:00:27,R_2QG3xQj1eUE8x1I,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,55-64,Conservative,Some College,Female,True,96,True,82,True,100,False,73,False,70,False,76,False,70,True,70,False,96,True,100,False,100,True,100,False,100,True,96,False,100,True,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fairly profound,,,Somewhat profound,,,,Definitely profound,,,,,,,,Somewhat profound,Not at all profound,Not at all profound,9 points,1,large tray (100 marbles),"Strategy D: Predict red on all of the 60 rolls. ",widen,come,whim,reference,outgoing,500,10,1 in 10,4,Not true or untrue 3,Not true or untrue 3,4,Not true or untrue 3,4,4,Not true or untrue 3,2,2,811ae5ae-103d-a896-f0b9-d331c393a673,
2018-03-06 13:56:35,2018-03-06 14:00:33,IP Address,*******,100,238,True,2018-03-06 14:00:35,R_2wGnjoTxzCLbkvb,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,25-34,Moderate,Graduate Degree or Higher,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,80,True,87,True,81,True,80,False,81,True,81,True,80,True,81,True,81,False,78,True,81,False,71,True,81,True,80,True,87,True,85,,,,,,,,,,,Fairly profound,Fairly profound,Fairly profound,Definitely profound,Fairly profound,,Definitely profound,,,,9 points,5,large tray (100 marbles),"Strategy E: Predict green on all of the 60 rolls. ",embroider,free,whim,aria,daring,150,10,1 in 1000,Definitely true of myself 5,4,Not true or untrue 3,4,4,Note true or untrue 3,4,4,4,Not true or untrue 3,e84a1289-5fa9-17ad-a09e-2461ce9fe85c,
2018-03-06 13:55:10,2018-03-06 14:02:56,IP Address,*******,100,466,True,2018-03-06 14:02:57,R_3hAvCywp9GxiV3c,*******,*******,*******,*******,*******,*******,anonymous,EN,I agree to participate in this research study.,18-24,Very Liberal,Some College,Female,True,80,False,97,False,59,True,60,True,52,True,79,True,70,True,51,False,90,True,100,False,100,True,100,False,90,True,91,False,100,True,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Somewhat profound,,Somewhat profound,Fairly profound,Fairly profound,,,,,Fairly profound,,,,,,,,,Not at all profound,9 points,1,small tray (10 marbles),"Strategy C: Make predictions according to the frequency of occurrence (4 of 6 for red and 2 of 6 for green). That is, predict twice as many reds as greens. ",widen,come,whim,reference,brave,500,10,1 in 10,2,2,Definitely true of myself 5,4,4,2,2,Definitely true of myself 5,4,4,7a542be2-4bf1-2fd3-bef5-1d7f0785fc36,
